date,areaName,newCasesByPublishDate,cumCasesByPublishDate,newAdmissions,cumAdmissions,hospitalCases,covidOccupiedMVBeds,newTestsByPublishDate,cumTestsByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
2020-07-13,United Kingdom,530,290133.0,189.0,129732.0,2111.0,162.0,97403.0,9235686.0,10,40855.0,61.2,24.0,41032.0,61.4,,
2020-07-14,United Kingdom,398,291373.0,185.0,129917.0,1992.0,145.0,132121.0,9368703.0,44,40899.0,61.2,21.0,41053.0,61.5,,
2020-07-15,United Kingdom,538,291911.0,166.0,130083.0,1973.0,153.0,152063.0,9524251.0,26,40925.0,61.3,20.0,41073.0,61.5,,
2020-07-16,United Kingdom,642,292552.0,167.0,130250.0,1828.0,142.0,165966.0,9690514.0,24,40949.0,61.3,13.0,41086.0,61.5,,
2020-07-17,United Kingdom,687,293239.0,145.0,130395.0,1803.0,143.0,177625.0,9868579.0,26,40975.0,61.3,18.0,41104.0,61.5,,
2020-07-18,United Kingdom,827,294066.0,105.0,130500.0,1775.0,137.0,140393.0,10009148.0,9,40984.0,61.4,14.0,41118.0,61.6,,
2020-07-19,United Kingdom,726,294792.0,126.0,130626.0,1741.0,131.0,120968.0,10130116.0,11,40995.0,61.4,14.0,41132.0,61.6,,
2020-07-20,United Kingdom,557,295372.0,130.0,130756.0,1733.0,129.0,101741.0,10232901.0,10,41005.0,61.4,12.0,41144.0,61.6,,
2020-07-21,United Kingdom,445,295817.0,125.0,130881.0,1633.0,137.0,142559.0,10375459.0,25,41030.0,61.4,20.0,41164.0,61.6,,
2020-07-22,United Kingdom,560,296377.0,157.0,131038.0,1746.0,110.0,147595.0,10523054.0,17,41047.0,61.5,17.0,41181.0,61.7,,
2020-07-23,United Kingdom,769,297146.0,199.0,131237.0,1537.0,111.0,152133.0,10675176.0,9,41056.0,61.5,16.0,41197.0,61.7,,
2020-07-24,United Kingdom,768,297914.0,157.0,131394.0,1452.0,104.0,157229.0,10832984.0,32,41088.0,61.5,7.0,41204.0,61.7,,
2020-07-25,United Kingdom,767,298681.0,120.0,131514.0,1399.0,93.0,142954.0,10975936.0,15,41103.0,61.5,15.0,41219.0,61.7,,
2020-07-26,United Kingdom,745,299426.0,109.0,131623.0,1381.0,92.0,113424.0,11095717.0,8,41111.0,61.5,16.0,41235.0,61.7,,
2020-07-27,United Kingdom,685,300111.0,130.0,131753.0,1368.0,97.0,99090.0,11195038.0,3,41114.0,61.6,11.0,41246.0,61.7,,
2020-07-28,United Kingdom,581,300692.0,119.0,131872.0,1367.0,93.0,154946.0,11349983.0,21,41135.0,61.6,12.0,41258.0,61.8,,
2020-07-29,United Kingdom,763,301455.0,132.0,132004.0,1348.0,87.0,165480.0,11515652.0,34,41169.0,61.6,12.0,41270.0,61.8,,
2020-07-30,United Kingdom,846,302301.0,132.0,132136.0,1312.0,84.0,206656.0,11722733.0,0,41169.0,61.6,10.0,41280.0,61.8,,
2020-07-31,United Kingdom,880,303181.0,113.0,132249.0,1263.0,86.0,190220.0,11912950.0,20,41189.0,61.7,14.0,41294.0,61.8,,
